"PNuid_NLidu","Name_en","Nom_fr","Latitude","Longitude","satellite_dep","wo_backbone_fibre_sans_fibre_dorsale","CTI_backbone_dorsale_BPI"
5715,"Bryanston","Bryanston",43.125556,-81.269167,0,0,0
5716,"Wellburn","Wellburn",43.1925,-81.148333,0,0,0
5717,"Rannoch","Rannoch",43.254445,-81.190554,0,0,0
5718,"St. Pauls Station","St. Pauls Station",43.318655,-81.056303,0,0,0
5719,"Fullarton","Fullarton",43.390278,-81.222223,0,0,0
5720,"Rostock","Rostock",43.490277,-81.004446,0,0,0
5721,"Gowanstown","Gowanstown",43.772222,-80.920001,0,0,0
5722,"Lebanon","Lebanon",43.704603,-80.818426,0,0,0
5723,"Goldstone","Goldstone",43.721667,-80.591112,0,0,0
5724,"Oustic","Oustic",43.697222,-80.254721,0,0,0
5725,"Cedar Valley","Cedar Valley",43.769319,-80.164416,0,0,0
5726,"Silver Creek","Silver Creek",43.675833,-79.984166,0,0,0
5727,"Limehouse","Limehouse",43.636389,-79.979445,0,0,0
5728,"Moffat","Moffat",43.508889,-80.054167,0,0,0
5729,"Haltonville","Haltonville",43.525834,-80.036667,0,0,0
5730,"Centre Inn","Centre Inn",43.638612,-80.196667,0,0,0
5731,"Ashgrove","Ashgrove",43.608611,-79.894445,0,0,0
5732,"Lowville","Lowville",43.431389,-79.904445,0,0,0
5733,"Cedar Springs","Cedar Springs",43.415555,-79.920556,0,0,0
5734,"Hornby","Hornby",43.569166,-79.841944,0,0,0
5735,"Aberfoyle","Aberfoyle",43.470833,-80.146944,0,0,0
5736,"Barber's Beach","Barber's Beach",43.420278,-80.274723,0,0,0
5737,"Crieff","Crieff",43.424167,-80.151389,0,0,0
5738,"Westover","Westover",43.333889,-80.084445,0,0,0
5739,"Strabane","Strabane",43.379166,-80.032222,0,0,0
5740,"Copetown","Copetown",43.243888,-80.055555,0,0,0
5741,"Troy","Troy",43.260555,-80.185278,0,0,0
5742,"Jerseyville","Jerseyville",43.199167,-80.106111,0,0,0
5743,"Middleport","Middleport",43.100833,-80.073889,0,0,0
5744,"Empire Corners","Empire Corners",43.041944,-79.799444,0,0,0
5745,"Abingdon","Abingdon",43.083611,-79.685,0,0,0
5746,"Allen's Corners","Allen's Corners",43.119167,-79.588055,0,0,0
5747,"Grassie","Grassie",43.155555,-79.615278,0,0,0
5748,"North Pelham","North Pelham",43.061388,-79.35111,0,0,0
5749,"Boyle","Boyle",43.019722,-79.412222,0,0,0
5750,"Becketts Bridge","Becketts Bridge",42.973888,-79.37139,0,0,0
5751,"Ostryhon Corners","Ostryhon Corners",42.890833,-79.354723,0,0,0
5752,"Lowbanks","Lowbanks",42.874444,-79.453333,0,0,0
5753,"Gasline","Gasline",42.893334,-79.182777,0,0,0
5754,"Silver Bay","Silver Bay",42.877778,-79.164166,0,0,0
5755,"Morgans Point","Morgans Point",42.859999,-79.344167,0,0,0
5756,"Fisherville","Fisherville",42.881111,-79.903611,0,0,0
5757,"Renton","Renton",42.860278,-80.221666,0,0,0
5758,"Villa Nova","Villa Nova",42.939167,-80.204166,0,0,0
5759,"Vanessa","Vanessa",42.970555,-80.395278,0,0,0
5760,"Boston","Boston",42.991945,-80.270278,0,0,0
5761,"Wilsonville","Wilsonville",42.997223,-80.318333,0,0,0
5762,"Windham Centre","Windham Centre",42.916667,-80.418334,0,0,0
5763,"Kelvin","Kelvin",42.998332,-80.456388,0,0,0
5764,"Holbrook","Holbrook",43.016666,-80.697499,0,0,0
5765,"Frogmore","Frogmore",42.685833,-80.65861,0,0,0
5766,"Lyons","Lyons",42.847501,-80.986944,0,0,0
5767,"Mossley","Mossley",42.946111,-81.011667,0,0,0
5768,"Orwell","Orwell",42.776051,-81.031121,0,0,0
5769,"Corinth","Corinth",42.821668,-80.833334,0,0,0
5770,"Cultus","Cultus",42.634722,-80.614166,0,0,0
5771,"Glen Meyer","Glen Meyer",42.731389,-80.673056,0,0,0
5772,"Oakdale","Oakdale",42.70889,-82.039722,0,0,0
5773,"Cairo","Cairo",42.706111,-81.896945,0,0,0
5774,"Fourth Line","Fourth Line",42.96,-82.321944,0,0,0
5775,"Inwood","Inwood",42.816667,-81.983333,0,0,0
5776,"Strathallan","Strathallan",43.218889,-80.805278,0,0,0
5777,"Innerkip","Innerkip",43.206944,-80.698334,0,0,0
5778,"Oxford Centre","Oxford Centre",43.100278,-80.683889,0,0,0
5779,"Creditville","Creditville",43.152222,-80.609999,0,0,0
5780,"Macton","Macton",43.625,-80.693889,0,0,0
5781,"Varney","Varney",44.134722,-80.81111,0,0,0
5782,"Thistle","Thistle",44.146389,-80.704166,0,0,0
5783,"Oxenden","Oxenden",44.761285,-81.091636,0,0,0
5784,"Colpoy's Bay","Colpoy's Bay",44.781762,-81.125089,0,0,0
5785,"Red Bay","Red Bay",44.802052,-81.279516,0,0,0
5786,"Pike Bay","Pike Bay",44.869207,-81.315295,0,0,0
5787,"Old Woman's River","Old Woman's River",44.967222,-81.353055,0,0,0
5788,"Tobermory","Tobermory",45.253111,-81.665126,0,0,0
5789,"Halfway Point","Halfway Point",44.907517,-81.022687,0,0,0
5790,"Cape Croker","Cape Croker",44.922777,-81.019999,0,0,0
5791,"Kemble","Kemble",44.724167,-80.93111,0,0,0
5792,"Clavering","Clavering",44.681111,-81.136943,0,0,0
5793,"Rocklyn","Rocklyn",44.465834,-80.589444,0,0,0
5794,"Hutchisons Corners","Hutchisons Corners",44.351388,-80.563888,0,0,0
5795,"Duntroon","Duntroon",44.399166,-80.194721,0,0,0
5796,"Sauble Beach South","Sauble Beach South",44.595444,-81.276528,0,0,0
5797,"Reaboro","Reaboro",44.318611,-78.6425,0,0,0
5798,"Cameron","Cameron",44.440001,-78.773889,0,0,0
5799,"Snug Harbour","Snug Harbour",44.424052,-78.718732,0,0,0
5800,"Isaacs Glen","Isaacs Glen",44.538889,-78.783611,0,0,0
